line_number,line_text,speaker,norm_speaker,eng_speaker
1,"ὦ κοινὸν αὐτάδελφον Ἰσμήνης κάρα,",Ἀντιγόνη,Αντιγονη,Antigonh
2,ἆρʼ οἶσθʼ ὅ τι Ζεὺς τῶν ἀπʼ Οἰδίπου κακῶν,Ἀντιγόνη,Αντιγονη,Antigonh
3,ὁποῖον οὐχὶ νῷν ἔτι ζώσαιν τελεῖ;,Ἀντιγόνη,Αντιγονη,Antigonh
4,οὐδὲν γὰρ οὔτʼ ἀλγεινὸν οὔτʼ ἄτης ἄτερ,Ἀντιγόνη,Αντιγονη,Antigonh
5,"οὔτʼ αἰσχρὸν οὔτʼ ἄτιμόν ἐσθʼ, ὁποῖον οὐ",Ἀντιγόνη,Αντιγονη,Antigonh
6,τῶν σῶν τε κἀμῶν οὐκ ὄπωπʼ ἐγὼ κακῶν.,Ἀντιγόνη,Αντιγονη,Antigonh
7,καὶ νῦν τί τοῦτʼ αὖ φασι πανδήμῳ πόλει,Ἀντιγόνη,Αντιγονη,Antigonh
8,κήρυγμα θεῖναι τὸν στρατηγὸν ἀρτίως;,Ἀντιγόνη,Αντιγονη,Antigonh
9,ἔχεις τι κεἰσήκουσας; ἤ σε λανθάνει,Ἀντιγόνη,Αντιγονη,Antigonh
10,πρὸς τοὺς φίλους στείχοντα τῶν ἐχθρῶν κακά;,Ἀντιγόνη,Αντιγονη,Antigonh
11,"ἐμοὶ μὲν οὐδεὶς μῦθος, Ἀντιγόνη, φίλων",Ἰσμήνη,Ισμηνη,Ismhnh
12,οὔθʼ ἡδὺς οὔτʼ ἀλγεινὸς ἵκετʼ ἐξ ὅτου,Ἰσμήνη,Ισμηνη,Ismhnh
13,"δυοῖν ἀδελφοῖν ἐστερήθημεν δύο,",Ἰσμήνη,Ισμηνη,Ismhnh
14,μιᾷ θανόντοιν ἡμέρᾳ διπλῇ χερί·,Ἰσμήνη,Ισμηνη,Ismhnh
