lemma_id,lemma,full_eng,urn,line_number,normalized,eng_lemma,form,norm_form,postag,form_eng,norm_form_eng
202694721,ὦ,w)=,urn:cts:greekLit:tlg0011.tlg002:1,1,ω,w,ὦ,ω,i--------,w)=,w
231442017,κοινός,koino/s,urn:cts:greekLit:tlg0011.tlg002:1,1,κοινος,koinos,κοινὸν,κοινον,a-s---nv-,koino\n,koinon
243269469,αὐτάδελφος,au)ta/delfos,urn:cts:greekLit:tlg0011.tlg002:1,1,αυταδελφος,autadelfos,αὐτάδελφον,αυταδελφον,a-s---nv-,au)ta/delfon,autadelfon
68312331,Ἰσμήνη,I)smh/nh,urn:cts:greekLit:tlg0011.tlg002:1,1,Ισμηνη,Ismhnh,Ἰσμήνης,Ισμηνης,n-s---fg-,I)smh/nhs,Ismhnhs
185122162,κάρα,ka/ra,urn:cts:greekLit:tlg0011.tlg002:1,1,καρα,kara,κάρα,καρα,n-s---nv-,ka/ra,kara
189408226,ἆρα,a)=ra,urn:cts:greekLit:tlg0011.tlg002:2,2,αρα,ara,ἆῤ,αρ,d--------,a)=r),ar
189148659,οἶδα,oi)=da,urn:cts:greekLit:tlg0011.tlg002:2,2,οιδα,oida,οἶσθ̓,οισθ,v2sria---,oi)=sq,oisq
163312466,ὅς,o(/s,urn:cts:greekLit:tlg0011.tlg002:2,2,ος,os,ὅ,ο,p-s---nn-,o(/,o
229972436,τις,tis,urn:cts:greekLit:tlg0011.tlg002:2,2,τις,tis,τι,τι,p-s---nn-,ti,ti
119196783,Ζεύς,Zeu/s,urn:cts:greekLit:tlg0011.tlg002:2,2,Ζευς,Zeus,Ζεὺς,Ζευς,n-s---mn-,Zeu\s,Zeus
152447041,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:2,2,ο,o,τῶν,των,l-p---ng-,tw=n,twn
115535355,ἀπό,a)po/,urn:cts:greekLit:tlg0011.tlg002:2,2,απο,apo,ἀπ̓,απ,r--------,a)p,ap
114422790,Οἰδίπους,Oi)di/pous,urn:cts:greekLit:tlg0011.tlg002:2,2,Οιδιπους,Oidipous,Οἰδίπου,Οιδιπου,n-s---mg-,Oi)di/pou,Oidipou
297772701,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:2,2,κακος,kakos,κακῶν,κακων,a-p---ng-,kakw=n,kakwn
481060084,ὁποῖος,o(poi=os,urn:cts:greekLit:tlg0011.tlg002:3,3,οποιος,opoios,ὁποῖον,οποιον,a-s---na-,o(poi=on,opoion
198140926,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:3,3,ου,ou,οὐχὶ,ουχι,d--------,ou)xi\,ouxi
129085135,ἐγώ,e)gw/,urn:cts:greekLit:tlg0011.tlg002:3,3,εγω,egw,νῷν,νων,p-d---fd-,nw|=n,nwn
121408347,ἔτι,e)/ti,urn:cts:greekLit:tlg0011.tlg002:3,3,ετι,eti,ἔτι,ετι,d--------,e)/ti,eti
255618218,ζάω,za/w,urn:cts:greekLit:tlg0011.tlg002:3,3,ζαω,zaw,ζώσαιν,ζωσαιν,v-dppafd-,zw/sain,zwsain
252476530,τελέω,tele/w,urn:cts:greekLit:tlg0011.tlg002:3,3,τελεω,telew,τελεῖ,τελει,v3spia---,telei=,telei
214329175,οὐδείς,ou)dei/s,urn:cts:greekLit:tlg0011.tlg002:4,4,ουδεις,oudeis,οὐδὲν,ουδεν,a-s---nn-,ou)de\n,ouden
144915106,γάρ,ga/r,urn:cts:greekLit:tlg0011.tlg002:4,4,γαρ,gar,γὰρ,γαρ,g--------,ga\r,gar
208137895,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ουτε,oute,οὔ,ου,d--------,ou)/,ou
206566436,τε,te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,τε,te,τ̓,τ,g--------,t,t
124675674,ἀλγεινός,a)lgeino/s,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,αλγεινος,algeinos,ἀλγεινὸν,αλγεινον,a-s---nn-,a)lgeino\n,algeinon
105341602,ἄτη,a)/th,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ατη,ath,ἄτης,ατης,n-s---fg-,a)/ths,aths
109787158,ἄτερ,a)/ter,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ατερ,ater,ἄτερ,ατερ,r--------,a)/ter,ater
155175176,αἰσχρός,ai)sxro/s,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,αισχρος,aisxros,αἰσχρὸν,αισχρον,a-s---nn-,ai)sxro\n,aisxron
115090996,ἄτιμος,a)/timos,urn:cts:greekLit:tlg0011.tlg002:5,5,ατιμος,atimos,ἄτιμόν,ατιμον,a-s---nn-,a)/timo/n,atimon
172737180,εἰμί,ei)mi/,urn:cts:greekLit:tlg0011.tlg002:5,5,ειμι,eimi,ἐσθ̓,εσθ,v3spia---,e)sq,esq
481060084,ὁποῖος,o(poi=os,urn:cts:greekLit:tlg0011.tlg002:5,5,οποιος,opoios,ὁποῖον,οποιον,a-s---na-,o(poi=on,opoion
198140926,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:5,5,ου,ou,οὐ,ου,d--------,ou),ou
152447041,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:6,6,ο,o,τῶν,των,l-p---ng-,tw=n,twn
387569300,σός,so/s,urn:cts:greekLit:tlg0011.tlg002:6,6,σος,sos,σῶν,σων,a-p---ng-,sw=n,swn
206566436,τε,te,urn:cts:greekLit:tlg0011.tlg002:6,6,τε,te,τε,τε,g--------,te,te
134065740,ἐμός,e)mo/s,urn:cts:greekLit:tlg0011.tlg002:6,6,εμος,emos,κἀμῶν,καμων,a-p---ng-,ka)mw=n,kamwn
198140926,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:6,6,ου,ou,οὐκ,ουκ,d--------,ou)k,ouk
181923899,ὁράω,o(ra/w,urn:cts:greekLit:tlg0011.tlg002:6,6,οραω,oraw,ὄπωπ̓,οπωπ,v1sria---,o)/pwp,opwp
129085135,ἐγώ,e)gw/,urn:cts:greekLit:tlg0011.tlg002:6,6,εγω,egw,ἐγὼ,εγω,p-s---fn-,e)gw\,egw
297772701,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:6,6,κακος,kakos,κακῶν,κακων,a-p---ng-,kakw=n,kakwn
166530851,καί,kai/,urn:cts:greekLit:tlg0011.tlg002:7,7,και,kai,καὶ,και,c--------,kai\,kai
340358196,νῦν,nu=n,urn:cts:greekLit:tlg0011.tlg002:7,7,νυν,nun,νῦν,νυν,d--------,nu=n,nun
221740961,τίς,ti/s,urn:cts:greekLit:tlg0011.tlg002:7,7,τις,tis,τί,τι,p-s---na-,ti/,ti
361275327,οὗτος,ou(=tos,urn:cts:greekLit:tlg0011.tlg002:7,7,ουτος,outos,τοῦτ̓,τουτ,a-s---na-,tou=t,tout
135700391,αὖ,au)=,urn:cts:greekLit:tlg0011.tlg002:7,7,αυ,au,αὖ,αυ,d--------,au)=,au
160519285,φημί,fhmi/,urn:cts:greekLit:tlg0011.tlg002:7,7,φημι,fhmi,φασι,φασι,v3ppia---,fasi,fasi
202133895,πάνδημος,pa/ndhmos,urn:cts:greekLit:tlg0011.tlg002:7,7,πανδημος,pandhmos,πανδήμῳ,πανδημω,a-s---fd-,pandh/mw|,pandhmw
213259292,πόλις,po/lis,urn:cts:greekLit:tlg0011.tlg002:7,7,πολις,polis,πόλει,πολει,n-s---fd-,po/lei,polei
185347557,κήρυγμα,kh/rugma,urn:cts:greekLit:tlg0011.tlg002:8,8,κηρυγμα,khrugma,κήρυγμα,κηρυγμα,n-s---na-,kh/rugma,khrugma
259370901,τίθημι,ti/qhmi,urn:cts:greekLit:tlg0011.tlg002:8,8,τιθημι,tiqhmi,θεῖναι,θειναι,v--ana---,qei=nai,qeinai
152447041,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:8,8,ο,o,τὸν,τον,l-s---ma-,to\n,ton
471861688,στρατηγός,strathgo/s,urn:cts:greekLit:tlg0011.tlg002:8,8,στρατηγος,strathgos,στρατηγὸν,στρατηγον,n-s---ma-,strathgo\n,strathgon
115556344,ἄρτιος,a)/rtios,urn:cts:greekLit:tlg0011.tlg002:8,8,αρτιος,artios,ἀρτίως,αρτιως,d--------,a)rti/ws,artiws
125680995,ἔχω,e)/xw,urn:cts:greekLit:tlg0011.tlg002:9,9,εχω,exw,ἔχεις,εχεις,v2spia---,e)/xeis,exeis
229972436,τις,tis,urn:cts:greekLit:tlg0011.tlg002:9,9,τις,tis,τι,τι,p-s---na-,ti,ti
158453875,εἰσακούω,ei)sakou/w,urn:cts:greekLit:tlg0011.tlg002:9,9,εισακουω,eisakouw,κεἰσήκουσας,κεισηκουσας,v2saia---,kei)sh/kousas,keishkousas
118155281,ἤ,h)/,urn:cts:greekLit:tlg0011.tlg002:9,9,η,h,ἤ,η,c--------,h)/,h
221447446,σύ,su/,urn:cts:greekLit:tlg0011.tlg002:9,9,συ,su,σε,σε,p-s---fa-,se,se
223663461,λανθάνω,lanqa/nw,urn:cts:greekLit:tlg0011.tlg002:9,9,λανθανω,lanqanw,λανθάνει,λανθανει,v3spia---,lanqa/nei,lanqanei
223706703,πρός,pro/s,urn:cts:greekLit:tlg0011.tlg002:10,10,προς,pros,πρὸς,προς,r--------,pro\s,pros
152447041,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:10,10,ο,o,τοὺς,τους,l-p---ma-,tou\s,tous
157792486,φίλος,fi/los,urn:cts:greekLit:tlg0011.tlg002:10,10,φιλος,filos,φίλους,φιλους,a-p---ma-,fi/lous,filous
248759856,στείχω,stei/xw,urn:cts:greekLit:tlg0011.tlg002:10,10,στειχω,steixw,στείχοντα,στειχοντα,v-pppann-,stei/xonta,steixonta
150737389,ἐχθρός,e)xqro/s,urn:cts:greekLit:tlg0011.tlg002:10,10,εχθρος,exqros,ἐχθρῶν,εχθρων,a-p---mg-,e)xqrw=n,exqrwn
297772701,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:10,10,κακος,kakos,κακά,κακα,a-p---nn-,kaka/,kaka
129085135,ἐγώ,e)gw/,urn:cts:greekLit:tlg0011.tlg002:11,11,εγω,egw,ἐμοὶ,εμοι,p-s---fd-,e)moi\,emoi
175978586,μέν,me/n,urn:cts:greekLit:tlg0011.tlg002:11,11,μεν,men,μὲν,μεν,g--------,me\n,men
214329175,οὐδείς,ou)dei/s,urn:cts:greekLit:tlg0011.tlg002:11,11,ουδεις,oudeis,οὐδεὶς,ουδεις,a-s---mn-,ou)dei\s,oudeis
209444842,μῦθος,mu=qos,urn:cts:greekLit:tlg0011.tlg002:11,11,μυθος,muqos,μῦθος,μυθος,n-s---mn-,mu=qos,muqos
73039797,Ἀντιγόνη,A)ntigo/nh,urn:cts:greekLit:tlg0011.tlg002:11,11,Αντιγονη,Antigonh,Ἀντιγόνη,Αντιγονη,n-s---fv-,A)ntigo/nh,Antigonh
157792486,φίλος,fi/los,urn:cts:greekLit:tlg0011.tlg002:11,11,φιλος,filos,φίλων,φιλων,a-p---mg-,fi/lwn,filwn
208137895,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:12,12,ουτε,oute,οὔθ̓,ουθ,d--------,ou)/q,ouq
144981459,ἡδύς,h(du/s,urn:cts:greekLit:tlg0011.tlg002:12,12,ηδυς,hdus,ἡδὺς,ηδυς,a-s---mn-,h(du\s,hdus
206566436,τε,te,urn:cts:greekLit:tlg0011.tlg002:12,12,τε,te,τ̓,τ,g--------,t,t
124675674,ἀλγεινός,a)lgeino/s,urn:cts:greekLit:tlg0011.tlg002:12,12,αλγεινος,algeinos,ἀλγεινὸς,αλγεινος,a-s---mn-,a)lgeino\s,algeinos
276496830,ἱκνέομαι,i(kne/omai,urn:cts:greekLit:tlg0011.tlg002:12,12,ικνεομαι,ikneomai,ἵκετ̓,ικετ,v3saim---,i(/ket,iket
118757826,ἐκ,e)k,urn:cts:greekLit:tlg0011.tlg002:12,12,εκ,ek,ἐξ,εξ,r--------,e)c,ec
183985315,ὅστις,o(/stis,urn:cts:greekLit:tlg0011.tlg002:12,12,οστις,ostis,ὅτου,οτου,p-s---mg-,o(/tou,otou
