lemma_id,headword
18105,i)w/
83066,po/tis
40109,poth/
37127,*)iw/
136922,pota/omai
45497,i)/on
42493,i)o/s
82858,po/ths
49091,po/qi
35141,poqi
94765,ou)ta/w
146438,ou)ta/zw
78248,i)a/zw
39309,poqh/
76537,i)a/omai
105211,ou)/tis
95185,ou)ti/s
65881,ou)/ti
67295,a)ri/s
21710,ai)ai=
12590,ai)=a
66131,po/qos
26312,ka/r
90760,ai)a/zw
71560,a)ro/w
77836,i)/ton
77573,i)/ths
127661,a)ra/omai
80982,ka/ron
64116,mo/ron
75464,oi)=mos
69690,i)to/s
39035,pote/
48651,po/te
66641,mo/ros
63411,domo/w
39347,oi)/moi
62765,poto/s
67331,po/tos
38162,o(/de
64805,do/mos
103275,keino/s
115515,kei=nos
97579,*)amw/n
71274,doma/w
23974,a)=ra
77146,a)/ron
47876,dh=ta
22476,a)/ra
8426,ou)
18140,a)ra/
34364,a)rh/
112586,krufh=|
16950,i)/a
30968,ka/ra
95837,broto/s
100403,bro/tos
117947,ne/atos
97476,a)ra/zw
48991,a)/gan
79226,kru/fw
17605,qea/
21180,qe/a
109946,*ta/fos
103701,neato/s
8267,so/s
37393,bora/
116729,bora/zw
13375,i)a/
40373,a)/gh
31874,a)gh/
49559,e)/ste
59414,oi)=ma
63831,ou)/te
70336,a)mo/w
62305,boro/s
79619,ta/fos
68006,e)mo/s
176934,*)/anakes
42272,a)/mh
72498,bora/w
75936,a)/gos
44273,kunw/
35623,ei)mi/
9068,ph=
5408,ph
20557,xrh/
73680,more/w
156662,sunai/mwn
22804,xrh=
44798,a)/th
52021,e)me/w
131550,a)kta/zw
67181,a(mou=
25167,sou=
83064,e)/sqw
73465,kune/w
24762,o)/y
112410,diplh=|
108227,fusio/w
102431,fusia/w
72360,w)/moi
177783,a)mhxanh/s
49949,seu/w
151073,su/naimos
83811,fi=los
59383,a)kth/
57951,a)kte/a
244762,a)mplakei=n
28275,qe/w
83867,mh=tis
62549,ma/omai
38425,domh/
46385,mo/ra
82369,mh/tis
104655,diplo/s
145440,o)/llumi
92934,o)rga/s
116270,*pu/los
83639,pu/los
117820,*pu/lwn
72564,keno/s
218154,yeudoku/wn
76194,pulo/w
43786,o(/qi
45689,qea/w
79671,a)/ros
44209,pa/gh
152949,zw/nnumi
106699,freno/w
47137,dra/w
70111,pela/w
135630,diplo/os
46723,qeo/s
44757,frh/n
154298,koufo/noos
81143,mu/dos
74087,pulw/n
4480,w)=
107124,te/qhpa
70396,*ko/ra
256702,a)nala/zomai
79772,pa/gos
81270,pa=gos
26466,ta=n
126666,blasta/w
49702,se/bw
82313,fi/los
127374,e)/ramai
73662,boeu/s
72423,mudw/n
71440,ai)/rw
94986,a)ga/zw
201103,a)mhxane/w
165753,a)mhxana/w
84144,ne/kus
92147,e)cere/w
50463,o)po/s
17025,toi
48997,xio/w
64197,o(da/w
141696,karta/zw
57880,ka/rta
82888,xia/zw
55086,ka/tw
71684,koni/s
108725,*tufw/s
162819,*tufweu/s
80166,le/gos
78558,*xi/os
51635,xi=on
13876,au(=
13916,au)=
146728,e(/nnumi
80805,*xi=os
83452,fi/lwn
153328,dipla/zw
65784,pareia/
110588,parei/as
138380,parei/hs
10681,sw=s
224105,a)mfinoe/w
198188,a)mu/nths
116810,qnh/skw
90913,oi)ma/w
25880,fa/ba
87472,ei)ka/s
7570,sh/s
81777,a)/xos
147032,du/spnous
161765,koufo/nous
25172,du/h
72128,pelo/s
74868,filo/w
71384,neio/s
53245,e)re/w
264624,i(ppokome/w
69799,a)xe/w
58065,a)gri/a
72283,kuna/w
115427,e)cera/w
50755,a)ga/w
106991,karto/s
66071,a)mi/s
118444,mhri/zw
295589,a)pana/stasis
81032,ko/nis
79148,lwba/zw
46038,se/bos
61081,nomo/s
221733,e)pi/stasis
108293,a)gria/w
128121,a)ta/omai
86093,pa/omai
71703,file/w
47219,e)gw/ge
49393,ko/rh
70183,muda/w
169271,kataskafh/s
125761,*pa/trai
153658,katw=ruc
45387,a)/nac
67213,e)ra/w
151864,a)gri/zw
77382,th=|de
151763,pate/omai
107873,kratu/s
138818,a)grio/w
41594,ei)=mi
144023,a)mfina/w
236208,a)mfi/noos
219325,a)mh/xanos
800,o(
299131,u(pe/rtatos
28450,ka/kh
47899,o(do/s
50731,klu/w
18819,kai/
105041,nekro/s
66740,a)go/s
110695,bla/sth
138325,tribeu/s
75352,tufw/s
19544,h)xh/
158406,lwba/omai
154548,a)/grios
53372,i(/zw
68132,ei)/kw
129623,kanaxh/s
131095,kanaxe/w
142811,a)re/omai
115880,glwsso/s
235537,talai/frwn
236492,a)munte/os
201697,a)munte/on
187472,duspnoe/w
56605,mw=mai
60070,kako/s
205964,pare/zomai
61745,ta/las
45561,dua/s
160253,e)re/omai
79333,w)=mos
143051,kataskafh/
46945,xiw/n
25646,phgh/
171186,*patre/es
5460,nin
110166,*)=apis
134087,o(rath/s
36713,e)gw/
239147,au)to/xeir
114342,pela/zw
247708,i(ppoko/mos
251217,i(ppo/komos
325994,au)ta/delfos
176876,du/spnoos
223255,u(perauxe/w
246709,u(perauxh/s
134800,ou)rei=on
274940,katw/ruxos
102455,*pu/lai
115820,kra/tos
116561,ke/rdos
225006,kerto/mios
83738,kanaxh/
133108,kanaxo/s
48076,pu/lh
52792,pe/lw
37840,zugh/
110742,yeu=dis
70113,eu)w/y
271339,u(pe/rauxos
137473,eu)wpo/s
99613,me/leos
46903,pai/w
99039,eu)age/w
54211,ku/wn
107837,nekro/w
94552,a(nda/nw
63949,boei/h
62400,kako/w
22627,o(/s
