lemma_id,lemma,full_eng,urn,line_number,normalized,eng_lemma,case_type,number,gender,voice,tense,mood,person,ppl_voice,ppl_tense,ppl_gender,ppl_case,prn_type,prn_case,prn_gender
19563,ὦ,w)=,urn:cts:greekLit:tlg0011.tlg002:1,1,ω,w,None,None,None,None,None,None,None,None,None,None,None,None,None,None
74650,κοινός,koino/s,urn:cts:greekLit:tlg0011.tlg002:1,1,κοινος,koinos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
106050,αὐτάδελφος,au)tdelfos,urn:cts:greekLit:tlg0011.tlg002:1,1,αυταδελφος,autadelfos,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
68057,Ἰσμήνη,I)smh/nh,urn:cts:greekLit:tlg0011.tlg002:1,1,Ισμηνη,Ismhnh,nominative,sg,feminine,active,pluperfect,indicative,1st,None,None,None,None,None,None,None
33854,κάρα,kra,urn:cts:greekLit:tlg0011.tlg002:1,1,καρα,kara,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
37216,ἆρα,a)=ra,urn:cts:greekLit:tlg0011.tlg002:2,2,αρα,ara,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
48157,οἶδα,oi)=da,urn:cts:greekLit:tlg0011.tlg002:2,2,οιδα,oida,nominative,sg,feminine,None,None,None,None,None,None,None,None,None,None,None
29355,ὅς,o(/s,urn:cts:greekLit:tlg0011.tlg002:2,2,ος,os,nominative,sg,neuter,None,None,None,None,None,None,None,None,relative,nominative,masculine
37706,τις,tis,urn:cts:greekLit:tlg0011.tlg002:2,2,τις,tis,nominative,sg,neuter,None,None,None,None,None,None,None,None,indefinite,nominative,masculine_feminine
47424,Ζεύς,Zeu/s,urn:cts:greekLit:tlg0011.tlg002:2,2,Ζευς,Zeus,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
13921,ὁ,o(,urn:cts:greekLit:tlg0011.tlg002:2,2,ο,o,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38164,ἀπό,a)po/,urn:cts:greekLit:tlg0011.tlg002:2,2,απο,apo,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93960,Οἰδίπους,Oi)di/pous,urn:cts:greekLit:tlg0011.tlg002:2,2,Οιδιπους,Oidipous,accusative,pl,masculine,None,None,None,None,None,None,None,None,None,None,None
60062,κακός,kako/s,urn:cts:greekLit:tlg0011.tlg002:2,2,κακος,kakos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
79078,ὁποῖος,o(poi=os,urn:cts:greekLit:tlg0011.tlg002:3,3,οποιος,opoios,nominative,sg,masculine,None,None,None,None,None,None,None,None,None,None,None
27691,οὐ,ou),urn:cts:greekLit:tlg0011.tlg002:3,3,ου,ou,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22491,ἐγώ,e)g,urn:cts:greekLit:tlg0011.tlg002:3,3,εγω,egw,None,None,None,None,None,None,None,None,None,None,None,personal,nominative,singular
38572,ἔτι,e)/ti,urn:cts:greekLit:tlg0011.tlg002:3,3,ετι,eti,dative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
29045,ζάω,zw,urn:cts:greekLit:tlg0011.tlg002:3,3,ζαω,zaw,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
61892,τελέω,tele/w,urn:cts:greekLit:tlg0011.tlg002:3,3,τελεω,telew,None,None,None,active,present,indicative,1st,None,None,None,None,None,None,None
74351,οὐδείς,ou)dei/s,urn:cts:greekLit:tlg0011.tlg002:4,4,ουδεις,oudeis,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
23605,γάρ,gr,urn:cts:greekLit:tlg0011.tlg002:4,4,γαρ,gar,None,None,None,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
94444,ἀλγεινός,a)lgeino/s,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,αλγεινος,algeinos,nominative,sg,neuter,None,None,None,None,None,None,None,None,None,None,None
53557,οὔτε,ou)/te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ουτε,oute,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
23657,τε,te,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,τε,te,vocative,sg,masculine,active,present,imperative,2nd,None,None,None,None,None,None,None
37571,ἄτη,a)/th,urn:cts:greekLit:tlg0011.tlg002:4 urn:cts:greekLit:tlg0011.tlg002:5,5,ατη,ath,nominative,sg,feminine,active,pluperfect,indicative,1st,None,None,None,None,None,None,None
